Date,Equity
2018-06-27,1.0
2018-06-28,1.0
2018-06-29,1.0
2018-07-02,1.0
2018-07-03,1.0
2018-07-05,1.0
2018-07-06,1.0
2018-07-09,1.0
2018-07-10,1.0
2018-07-11,1.0
2018-07-12,1.0
2018-07-13,1.0
2018-07-16,1.0
2018-07-17,1.0
2018-07-18,1.0
2018-07-19,1.0
2018-07-20,1.0
2018-07-23,1.0
2018-07-24,1.0
2018-07-25,1.0
2018-07-26,1.0
2018-07-27,1.0
2018-07-30,1.0
2018-07-31,0.9995
2018-08-01,0.9995547196230515
2018-08-02,0.999663757257242
2018-08-03,0.999663757257242
2018-08-06,0.9997732969063227
2018-08-07,0.9998820333315788
2018-08-08,0.9997732969063226
2018-08-09,0.9998820333315787
2018-08-10,1.0001010122267622
2018-08-13,1.000210551875843
2018-08-14,0.99999207499555
2018-08-15,1.0002105518758433
2018-08-16,1.0002105518758433
2018-08-17,1.0003196899130118
2018-08-20,1.0003196899130118
2018-08-21,1.0004293299650708
2018-08-22,1.0004293299650708
2018-08-23,1.0009210535501973
2018-08-24,1.0009210535501973
2018-08-27,1.0010846367893889
2018-08-28,1.0010846367893889
2018-08-29,1.000921044639551
2018-08-30,1.0015767332526828
2018-08-31,1.001412963648209
2018-09-04,1.0015437311440643
2018-09-05,1.0013798126787976
2018-09-06,1.0017083849828168
2018-09-07,1.0020372945531917
2018-09-10,1.0020372945531917
2018-09-11,1.0022007878808257
2018-09-12,1.0022007878808257
2018-09-13,1.0022007878808257
2018-09-14,1.002365495645712
2018-09-17,1.002694326413384
2018-09-18,1.002694326413384
2018-09-19,1.002694326413384
2018-09-20,1.003022439541263
2018-09-21,1.003022439541263
2018-09-24,1.0031871923011724
2018-09-25,1.0031871923011724
2018-09-26,1.0031871923011724
2018-09-27,1.0035158114038896
2018-09-28,1.0035158114038896
2018-10-01,1.0036148601745882
2018-10-02,1.0037790423052575
2018-10-03,1.0037790423052575
2018-10-04,1.0041083291044952
2018-10-05,1.0042725381372926
2018-10-08,1.0042725381372926
2018-10-09,1.0041083201540444
2018-10-10,1.0044376429496666
2018-10-11,1.0046017191239411
2018-10-12,1.0046017191239411
2018-10-15,1.0047677648069913
2018-10-16,1.0049315573099364
2018-10-17,1.0049315573099364
2018-10-18,1.0049315573099364
2018-10-19,1.005096565352305
2018-10-22,1.0054250911150087
2018-10-23,1.0054250911150087
2018-10-24,1.0055908804365008
2018-10-25,1.0057554719656163
2018-10-26,1.00592007247367
2018-10-29,1.00592007247367
2018-10-30,1.00592007247367
2018-10-31,1.0060848328396284
2018-11-01,1.0064149751111633
2018-11-02,1.0064149751111633
2018-11-05,1.0065800642987686
2018-11-06,1.0065800642987686
2018-11-07,1.0067448606874052
2018-11-08,1.0069105715925715
2018-11-09,1.0072406532243707
2018-11-12,1.007075066068994
2018-11-13,1.007240644149376
2018-11-14,1.0070750569954912
