Date,equity
2020-01-02,1.0
2020-01-03,1.0
2020-01-06,1.0
2020-01-07,1.0
2020-01-08,1.0
2020-01-09,1.0
2020-01-10,1.0
2020-01-13,1.0
2020-01-14,1.0
2020-01-15,1.0
2020-01-16,1.0
2020-01-17,1.0
2020-01-21,1.0
2020-01-22,1.0
2020-01-23,1.0
2020-01-24,1.0
2020-01-27,1.0
2020-01-28,1.0
2020-01-29,1.0
2020-01-30,1.0
2020-01-31,1.0
2020-02-03,1.0121730060579723
2020-02-04,1.0193382677537413
2020-02-05,1.0222570928352133
2020-02-06,1.0109655152194192
2020-02-07,1.0113957889734826
2020-02-10,1.0186968157324292
2020-02-11,1.0224848818859285
2020-02-12,1.0198071095120844
2020-02-13,1.0064616469157226
2020-02-14,1.0079708192022894
2020-02-18,1.000736924698576
2020-02-19,1.0016530021409407
2020-02-20,1.001541692431438
2020-02-21,1.001541692431438
2020-02-24,1.001541692431438
2020-02-25,1.001541692431438
2020-02-26,1.001541692431438
2020-02-27,1.0115211690512773
2020-02-28,1.0259250483529303
2020-03-02,1.0440847412936287
2020-03-03,1.0158484464805164
2020-03-04,1.0207715161163584
2020-03-05,1.0195416223636318
2020-03-06,1.0261924495084807
2020-03-09,1.0982321474505017
2020-03-10,1.1101025009824714
2020-03-11,1.087222992785021
2020-03-12,1.093800806076403
2020-03-13,1.1033395142668494
2020-03-16,1.0949295728960653
2020-03-17,1.1079090743228688
2020-03-18,1.1141016551275373
2020-03-19,1.1265287943962143
2020-03-20,1.1158195128671504
2020-03-23,1.1244732986676458
2020-03-24,1.119989319224017
2020-03-25,1.1183801416409298
2020-03-26,1.1187640265630499
2020-03-27,1.1216349507968435
2020-03-30,1.128704986660274
2020-03-31,1.1309490631886772
2020-04-01,1.1313908109481972
2020-04-02,1.1275815795149104
2020-04-03,1.114033779342183
2020-04-06,1.1094777597981897
2020-04-07,1.1085950814606083
2020-04-08,1.1151352534878405
2020-04-09,1.1076894757089346
2020-04-13,1.11280411252437
2020-04-14,1.1200910622475773
2020-04-15,1.1255416037038395
2020-04-16,1.1276224820930076
