Date,Equity
2022-05-05,1.0
2022-05-06,1.0
2022-05-09,1.0
2022-05-10,1.0
2022-05-11,1.0
2022-05-12,1.0
2022-05-13,1.0
2022-05-16,1.0
2022-05-17,1.000100262790291
2022-05-18,1.000100262790291
2022-05-19,1.0002001684557726
2022-05-20,1.000100262790291
2022-05-23,1.000250255210317
2022-05-24,1.000300252683659
2022-05-25,1.000300252683659
2022-05-26,1.0003998012243311
2022-05-27,1.0003998012243311
2022-05-31,1.0003998012243311
2022-06-01,1.0004100685626067
2022-06-02,1.0005101527904932
2022-06-03,1.0005101527904932
2022-06-06,1.0004100685626067
2022-06-07,1.0004100685626067
2022-06-08,1.0004100685626067
2022-06-09,1.0005101527904932
2022-06-10,1.0005101527904932
2022-06-13,1.0004100685626067
2022-06-14,1.0004100685626067
2022-06-15,1.0003599818080624
2022-06-16,1.0006101477371772
2022-06-17,1.0007101426838612
2022-06-21,1.0009098647336219
2022-06-22,1.0008098697869379
2022-06-23,1.0009098647336219
2022-06-24,1.0007101426838612
2022-06-27,1.0009098647336219
2022-06-28,1.0009098647336219
2022-06-29,1.0010100382427105
2022-06-30,1.001209938854876
2022-07-01,1.0011002122571309
2022-07-05,1.0012994879008796
2022-07-06,1.0012994879008796
2022-07-07,1.0014991405365743
2022-07-08,1.0014991405365743
2022-07-11,1.0014991405365743
2022-07-12,1.001299467998142
2022-07-13,1.0011001725267585
2022-07-14,1.0017004993078467
2022-07-15,1.0014990205493528
2022-07-18,1.00170047904342
2022-07-19,1.001900171638668
2022-07-20,1.001900171638668
2022-07-21,1.0021004200378079
2022-07-22,1.0025011355070277
2022-07-25,1.0025011355070277
2022-07-26,1.002300291003142
2022-07-27,1.0027006890833492
2022-07-28,1.0027006890833492
2022-07-29,1.0023002110437682
2022-08-01,1.0032225023088932
2022-08-02,1.0033234969240712
2022-08-03,1.0036243508932217
2022-08-04,1.0038242351232738
2022-08-05,1.0038242351232738
2022-08-08,1.0038242351232738
2022-08-09,1.0042258314401138
2022-08-10,1.0040248142825443
2022-08-11,1.0044269871787828
2022-08-12,1.0046271301691367
2022-08-15,1.0046271301691367
2022-08-16,1.0048283663575084
2022-08-17,1.0050289071205032
2022-08-18,1.0052289311560505
2022-08-19,1.0052289311560505
2022-08-22,1.0060325065825209
2022-08-23,1.005429986972213
2022-08-24,1.0058311884959477
2022-08-25,1.006332700947133
2022-08-26,1.006332700947133
2022-08-29,1.0064345680806444
2022-08-30,1.0064345680806444
2022-08-31,1.006634552873046
2022-09-01,1.007198218645851
